batch_id,policy,steps,runtime,total_trim_loss,remaining_stocks,used_stocks,avg_used_stock_area
1,PPO,342,3.44498872756958,4033.0,3,7,342.57142857142856
2,PPO,61,0.27075886726379395,4397.0,5,5,404.4
3,PPO,135,0.5124120712280273,3064.0,4,6,304.3333333333333
4,PPO,122,0.5054700374603271,4233.0,4,6,467.3333333333333
5,PPO,68,0.2673177719116211,2818.0,5,5,240.4
6,PPO,90,0.31717586517333984,2010.0,5,5,218.2
7,PPO,118,0.40166139602661133,1865.0,7,3,478.3333333333333
8,PPO,88,0.3325810432434082,3801.0,5,5,437.0
9,PPO,195,0.7625598907470703,4184.0,4,6,486.1666666666667
10,PPO,34,0.129530668258667,4831.0,4,6,229.33333333333334
